Discipline,Effect,Description,Original effect size
Social Psychology,Ingroup-outgroup norm of reciprocity effect,"“When confronted with a decision about allowing or denying the same behaviour to an ingroup and outgroup, people may feel an obligation to reciprocity, or consistency in their evaluation of the behaviours.”",d=0.16[0.06 0.27]. 
Social Psychology,Social dominance-status,"verticality effects). Vertical dimension of human relations (such as dominance and submission) and nonverbal behaviour are intimately and fruitfully linked; nonverbal behaviour, such as gazing, smiling, touching, and various body positions can signal high and low verticality",NA. 
Social Psychology,Personal cognitive dissonance - free-choice paradigm,"Personal cognitive dissonance, from the cognitive dissonance theory (Festinger, 1957), suggests that an inconsistency between two cognitions (e.g., an attitude and a past behaviour) creates an unpleasant psychological state (i.e., personal dissonance) that the individual is motivated to reduce (e.g., by changing one of the elements to fit the other). This personal cognitive dissonance has been studied in the literature through different paradigms, including the following three main ones: free-choice, induced-compliance and induced-hypocrisy paradigm. The mere act of choosing equally desirable options can arouse dissonance in the individual, because choosing option A implies the rejection of option B (in other words, choosing option A means accepting its advantages but also its disadvantages, but also accepting to deprive oneself of the advantages of option B). In order to reduce dissonance, subjects will increase the perceived gap between options (i.e., spreading of alternatives) by overestimating the chosen option and/or underestimating the rejected option. ​",NA.
Social Psychology,Personal cognitive dissonance - induced-compliance paradigm,"In this paradigm, subjects are led to perform, in a context of free choice, an inconsistent act with their own norms or social norms (e.g., agree to perform a counter-attitudinal act). Dissonance can be resolved through multiple modes of reduction (e.g., social support, trivialization, etc.), but attitude change remains the most studied mode of reduction.​","Effect of induced-compliance on attitude change: d = 2.40 [1.40, 3.37]​."
Social Psychology,Personal cognitive dissonance - induced-hypocrisy paradigm,"Personal cognitive dissonance - Induced-hypocrisy paradigm**. In this paradigm, dissonance is aroused by making individuals aware of the discrepancy between a socially desirable behaviour (e.g., not wasting water; stage 1: normative commitment phase) and their own past transgressive behaviours (e.g., remembering one's past water waste; stage 2: transgression salience phase). Most of the dissonance reduction work is done through behavioural means, and leads subjects to express behavioural intentions, and/or perform behaviours in the direction of the socially desirable behaviours expressed in step 1 (i.e., allowing for the reduction of the inconsistency between the norm, step 1, and the recall of transgressions, step 2).​","Effect of induced-hypocrisy on behavioural intention: r = .58 [.32, .75]​."
Social Psychology,Vicarious cognitive dissonance - induced-compliance paradigm,"Vicarious cognitive dissonance, from the cognitive dissonance theory (Festinger, 1957; see “personal cognitive dissonance”), suggests that it would be possible for an individual to experience dissonance vicariously when they witness the performance of inconsistent act (e.g., counter-attitudinal or counter-normative behaviour) on the part of an in-group member with whom they strongly identify. As a personal cognitive dissonance, the inconsistency between two cognitions (e.g., between attitude and observed behaviour) creates an unpleasant psychological state (i.e., vicarious dissonance) that the individual is motivated to reduce (e.g., by changing one of the elements to fit the other). This vicarious cognitive dissonance has been studied in the literature through different paradigms, including the following two main ones: induced-compliance and induced-hypocrisy paradigm. In this paradigm, subjects are led to observe the realisation, by a member of their in-group, of a counter-attitudinal act with their own norms or social norms (e.g., agree to perform a counter-attitudinal act), performed in a context of free choice. Dissonance can be resolved through multiple modes of reduction (e.g., social support, trivialization, ect.), but attitude change remains the most studied mode of reduction.​","Effect of vicarious dissonance on attitude change: d = 0.70 [0.21, 1.26]."
Social Psychology,Vicarious cognitive dissonance - induced hypocrisy paradigm,"Vicarious cognitive dissonance - Induced-hypocrisy paradigm**. In this paradigm, subjects are made to observe a member of their group becoming aware of the discrepancy between a socially desirable behaviour (e.g., not wasting water; stage 1: normative commitment phase) and their own past transgressive behaviours (e.g., remembering one's past water waste; stage 2: transgression salience phase). Most of the dissonance reduction work is done through behavioural means, and leads subjects to express behavioural intentions, and/or perform behaviours in the direction of the socially desirable behaviours expressed in step 1 (i.e., allowing for the reduction of the inconsistency between the norm, step 1, and the recall of transgressions, step 2).​","Effect of induced-hypocrisy on behavioural intention: d = 0.70 [0.12, 1.26]​."
Social Psychology,Impostor phenomenon,"Imposter phenomenon**. People who perform outstandingly both academically and professionally believe that in fact, they are not really bright and that they have fooled anyone who thinks otherwise. This phenomenon might be especially persistent in women. Key conclusion: Therapeutic interventions might help to overcome imposter syndrome",NA; No effect sizes mentioned in original study since no statistical analyses were performed.
Social Psychology,Ability Emotional Intelligence as a Second Stratum Factor of Intelligence,"Ability EI as a factor of intelligence. **Ability EI is a collection of cognitive abilities relating to the recognition, understanding and management of emotions. There have been many controversies in attempting to contextualise Ability EI within models of intelligence/cognitive ability. MacCann et al. (2014) empirically tested multiple models of how various cognitive abilities interact, including hierarchical and bi-factor models, and the data demonstrated closest fit to a hierarchical structure where Ability EI was contextualised as a second-stratum factor. A recent replication repeated this modelling process and drew the same conclusion",N/A
Social Psychology,Matilda effect,Matthew Matilda effect)**.** Male scientists and masculine topics are frequently perceived as demonstrating higher scientific quality,NA.
Social Psychology,Being slightly behind increases chance of winning,Being slightly behind increases the chance of winning.** The original study has found that being slightly behind at halftime increases the chance of winning significantly in professional Basketball.​,Teams behind by one point at halftime win between 5.8 and 8 percentage points more often than expected in the NBA across four models (between 2.1 and 2.5 percentage points in the NCAA). The result is statistically significant in all specifications in the NBA and in 3 out of 4 specifications in the NCAA.
Social Psychology,Ethnoracial diversity and trust,Ethnoracial diversity negatively affects trust and social capital,"Trust in Neighbors increases by 0,18 (on a 4-point scale) when switching from a maximally heterogeneous to a maximally homogeneous community in the USA. t= 5.1. (see table 3)."
