Discipline,Effect,Description,Replication effect size
Cognitive Psychology,Age of acquisition effects - influence on recognition (mixed block),Early-acquired items are recalled more accurately than late-acquired items,"Dewhurst et al.: Experiment 1: Hits: _ηp_² = 0.42 [_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], False alarms: _F_ &lt; 1, d’: _ηp_² = 0.31 [_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; Experiment 2: Hits: _d_ = 0.74 [d_ _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], False alarms: _d_= 0.57 [d_ _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], d’: _d_ = 0.09 [d_ _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Elsherif et al. (2023): Unspaced d': _d_ = 0.20 [d_ _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], c: _d_ = 0.02 [d_ _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], Spaced: d’: _d_ = 0.27 [d_ _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], c: _d_ = 0.25 [d_ _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Macmillan et al.: Hits: _d_  = 0.023, False alarms: _d _= 0.56, d’: _d_ = 0.44, C = 0.35, da = 0.65, slope = 0.25."
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (progressive demasking),"Age of acquisition influences the pre-conceptual stages of lexical retrieval (progressive demasking). **Early-acquired items are identified more accurately than late-acquired items, using a progressive demasking task. A progressive demasking task is a type of perceptual identification task where participants are presented with a series of words that are gradually revealed over time and their ability to identify words at each stage of the task is measured. Words learned at an earlier age are thought to be easier to demask than those learned later in life, perhaps because the individual has gained more experience and exposure to the word, which can make it easier to recognize",author: Gilhooly and Logie: Beta = 0.09; Ghyselinck et al.: _ηp_² = 0.58 [_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Chen et al.: _ηp_² = 0.27 [_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Ploetz and Yates: _ηp_² = .124.
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (object decision),The age at which one acquires the concept of  an object does not contribute to the speed and accuracy of recognising whether an object is a real object or not a real world object that has chimeric features,"Catling and Johnston: _ηp2  _= 0.18[_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Holmes and Ellis: Experiment 2: _d  _= 1.18 [_d _calculated from _t_ statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], Experiment 3: _d  _= 1.44[_d _calculated from _t_ statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)], Experiment 7: _ηp2  _= 0.38[_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Moore et al.: _ηp2  _= 0.27  [_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Vitkovitch and Tyrell: Beta = .426. "
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (anagram solution),"Age of acquisition is thought to affect lexical retrieval through its impact on anagram (word jumbles) solutions, such that words acquired at an earlier age tend to be solved more quickly and accurately in anagram tasks than those learned later in life. This may be because words learned earlier in life are more deeply encoded and may therefore be more easily accessed",Gilhooly and Johnson: not reported.  Gilhooly and Gilhooly: beta = -.41.
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (visual duration threshold),"Early-acquired items are identified more accurately than late-acquired items, using visual duration threshold task",Chen et al.: _ηp_² = 0.46 [_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category verification),"The age at which one acquires an object does not contribute to the speed and accuracy of category verification during a semantic categorisation task (where objects have to be decided whether they represent one group or another, e.g. tools vs. furniture","Catling and Elsherif: Experiment 1a: _d_ = 0.23, Experiment 2a: _d_ = 0.25. Catling and Johnston: _ηp2  _= 0.46. Catling and Johnston: _ηp2  _= 0.19[_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Holmes and Ellis: Experiment 4: _d_ =  1.62 [_d _calculated from reported t statistic in category verification and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; Experiment 8: _t_ &lt; 1.  Räling et al.: _ηp2  _= 0.45[_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Stadthagen-Gonzalez et al.: Beta = 2.43."
Cognitive Psychology,Age of acquisition influence on the pre-conceptual stages of lexical retrieval (category falsification),"The age at which one acquires the name of an object object does not contribute to the speed and accuracy of category falsification (i.e. deciding that a different word and the picture of the acquired concept do not match; e.g. the picture of the acquired concept of a rabbit, paired with the non-matching word “mouse”","Catling and Elsherif: Experiment 1a: _d_ = 0.14, Experiment 2a: _d_ = 0.16. Catling and Johnston: _ηp2  _= 0.297. Stadthagen-Gonzalez et al.: Beta = 0.43. "
Cognitive Psychology,Age of acquisition influence on face recognition,Early-acquired faces are recognised more quickly and accurately than late-acquired faces,Lima et al.: _r_ = -0.16.
Cognitive Psychology,Age of acquisition influence on familiarity decision,Age of acquisition influence on face familiarity decision. **Early-acquired faces are recognised as familiar faces more quickly than late-acquired faces when the task is to discriminate between familiar and unfamiliar faces,Richards and Ellis: _ηp2  _= 0.21 [_ηp2 _calculated from reported F statistic and converted using this [conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on face gender decision,"The age at which  a celebrity face is acquired does not affect the speed to recognise a celebrity’s face, using a gender decision task (is this face male or female",Richards and Ellis: NA.
Cognitive Psychology,Age of acquisition influence on semantic decision,Early-acquired semantic concepts are categorised more quickly and accurately than later acquired concepts,"Bai et al.: _ηp2  _= 0.10 [_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Chen et al.: _ηp2  _= 0.57 [_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. De Deyne and Storms: young adult: beta = 11.68, older adult: beta = 4.09. Ghyselinck et al.: _ηp2_ = 0.47[_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Izura and Hernandez-Munoz: first categorisation task: Beta = .256, second categorisation task: Beta = -0.017."
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in opaque languages (spoken picture naming in opaque language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in opaque languages or deep orthography (i.e. spelling-sound correspondence is not direct where one is able to pronounce the word correctly based on the spelling; e.g. English, French",Alario et al.: beta = 69.4. Bonin et al.: beta = .194. Bonin et al.: _ηp2  _= 0.81[_ηp2 _calculated from reported F statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Catling and Elsherif: Experiment 2b: _d_ = 1.15 [_d _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Catling and Johnston: Experiment 4: _d_ =0.45. Johnston et al. :  beta = .341. Karimi and Diaz: beta = .072. Perret et al. : _d_ = 0.82  [_d _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; Schwitter et al.: beta = .222. Snodgrass and Yuditsky: beta = .30.
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in logographic languages (spoken picture naming in logographic languages),Early-acquired names of objects are produced more quickly and accurately than late-acquired names in logographic languages such as Japanese and Chinese,"Liu et al.: objective AoA: _r_ = .591, rated AoA: _r_ = .475."
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent languages),"Age of acquisition influence on the conceptual stages of lexical retrieval in transparent languages (spoken picture naming in transparent language). **Early-acquired objects are named more quickly and accurately than late-acquired objects in transparent languages or shallow orthography (i.e. spelling-sound correspondence is direct where one is able to pronounce the word correctly based on the spelling; e.g. Spanish, Turkish, Italian","Cuetos and Alija: beta = 0.542. Severens et al.: beta = 0.24. Shao et al.: beta = 0.25. Wolna et al.: pictures of objects: _d_ = – 0.49, pictures of actions: _d_ = -0.29."
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (written picture naming),Early-acquired object names are written more quickly and accurately than late-acquired names,Bonin et al.: Beta = 0.341. Catling and Elsherif: Experiment 2b: _d_ = 0.80 [_d _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]. Perret et al.: _d_ = 0.79  [_d _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)].
Cognitive Psychology,Age of acquisition influence on the conceptual stages of lexical retrieval (typing),"Age of acquisition influence on the conceptual stages of lexical retrieval   (typing). **Early-acquired object names are typed more quickly than late-acquired object names. Typing allows more precise measure for the response execution, while written picture naming is a measure for lexical retrieval",Scaltritti et al.: onset latency: _d_ = 0.66 [_d _calculated from reported t statistic and converted using this[ conversion](https://haiyangjin.github.io/2020/05/eta2d/#from-cohens-d-to-partial-eta-squared)]; interkeystroke interval: not reported.
