Discipline,Effect,Description,Paper title,Paper ref,Link,doi,Paper Notes,Citations,N orig
Social Psychology,Red impairs cognitive performance effect,"Red impairs cognitive performance**. The colour red impairs performance on achievement tasks, as red is associated with the danger of failure and evokes avoidance motivation",Color and psychological functioning: The effect of red on performance attainment,Elliot et al. 2007,https://psycnet.apa.org/doi/10.1037/0096-3445.136.1.154,10.1037/0096-3445.136.1.154,"6 experiments, Total N=282","948(GS, October 2022)]​",282
Social Psychology,Reduced prosociality of high SES effect,Higher socioeconomic status predicts decreased prosocial behaviour. Affluence may be linked with reduced empathy and poverty may be linked with increased empathy,"Having less, giving more: the influence of social class on prosocial behavior",Piff et al. 2010,https://doi.org/10.1037/a0020092,10.1037/a0020092,"correlational and experimental design: self-report and behavioural measure of altruism, total N = 394","1633(GS, October 2022)]​",394
Social Psychology,Moral licensing effect,"self-licensing, moral self-licensing, licensing effect) is the effect that acting in a moral way makes people more likely to excuse and perform subsequent immoral, unethical, or otherwise problematic behaviours",Sinning Saints and Saintly Sinners,Sachdeva et al. 2009,https://journals.sagepub.com/doi/full/10.1111/j.1467-9280.2009.02326.x?casa_token=pKaB9TiHf7MAAAAA%3AhzX6UrXeTzfnjsLD_aSA1O9lttBra3SL6rlqK37SIT151l8I_BQlU9BkFKpOGXspGt2asdlWatg,10.1111/j.1467-9280.2009.02326.x?casa_token=pKaB9TiHf7MAAAAA:hzX6UrXeTzfnjsLD_aSA1O9lttBra3SL6rlqK37SIT151l8I_BQlU9BkFKpOGXspGt2asdlWatg,"three experiments using a priming-task where participants write a story about themselves using neutral/negative/positive traits, US student sample, Study 1 & 3: n = 46","919 (GS, June 2022)",46
Social Psychology,Colour on approach/avoidance,"Red (versus blue) colour induces primarily an avoidance (versus approach) motivation and enhances performance on a detail-oriented task, whereas blue enhances performance on a creative task.​",Blue or Red? Exploring the Effect of Color on Cognitive Task Performances,Mehta and Zhu 2009,https://www.science.org/doi/abs/10.1126/science.1169144,10.1126/science.1169144,"six studies, studies 1-5 between-subject experiments, study 6 correlational, Study 1: n = 69, Study 2: n = 208, Study 3: n = 118, Study 4: n = 42, Study 5: n = 161, Study 6: n = 68","1003 (GS, November 2022)]​",69 & 208 & 118 & 42 & 161 & 68
Social Psychology,Playboy effect,Playboy Effect.** Men exposed to erotic images of the opposite-sex will report lower ratings of love for their partner and lower ratings for their partners sexual attractiveness compared to men exposed to abstract art. This effect was not found in women in either the original or replication attempts,Influence of Popular Erotica on Judgments of Strangers and Mates,Kenrick et al. 1989,https://doi.org/10.1016/0022-1031(89)90010-3,10.1016/0022-1031(89)90010-3,"between-subjects design, Experiment 2: n = 30","399 (GS, October 2022)",30
Social Psychology,Self-protective subjective temporal distance effect,"Participants reported that negative events in their own lives felt farther away than positive events in their own lives, and this effect was stronger for participants higher in self-esteem","It feels like yesterday: Self-esteem, valence of personal past experiences, and judgments of subjective distance",Ross and Wilson 2002,https://doi.org/10.1037/0022-3514.82.5.792,10.1037/0022-3514.82.5.792,"Three studies: Study 1: N = 557 was a correlational study; Study 2: N = 357 was an experiment with two main predictors: recalled grade condition (best vs. worst; between-subjects) and self-esteem (measured); Study 3: N = 107 was an experiment with three main predictors: agent (self vs. acquaintance; between-subjects), valence of recalled experience (positive vs. negative; between-subjects), and self-esteem (measured)","462 (GS, June 2022)]. Study 2 was the one Many Labs 3 replicated",557 & 357 & 107
Social Psychology,Trait loneliness hot shower effect,"People self-regulate their feelings of social warmth (connectedness to others) through applications of physical warmth of shower or bath, without explicit awareness of this substitution. Loneliness as a form of “social coldness” can be relieved by applying physical warmth",The substitutability of physical and social warmth in daily life,Bargh and Shalev 2012,"https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3406601/#:~:text=The%20results%20of%20Study%201,compared%20to%20less%20lonely%20individuals.",,"4 experiments, n=403 across 4 experiments","414(GS, October 2022)]​",403
Social Psychology,American flag priming boosts Republican support,"Subtle exposure to the American flag causes people to report more conservative, Republican beliefs and attitudes",A Single Exposure to the American Flag Shifts Support Toward Republicanism up to 8 Months Later,https://journals.sagepub.com/doi/full/10.1177,https://journals.sagepub.com/doi/full/10.1177/0956797611414726,10.1177/0956797611414726,,,
Social Psychology,Unethicality darkens perception of light,"El Greco fallacy). Recalling abstract concepts such as evil (as exemplified by unethical deeds) and goodness (as exemplified by ethical deeds) can influence the sensory experience of the brightness of light. Recalling unethical behaviour led participants to see the room as darker and to desire more light-emitting products (e.g., a flashlight) compared to recalling ethical behaviour",Is It Light or Dark? Recalling Moral Behavior Changes Perception of Brightness,Banerjee et al. 2012,https://journals.sagepub.com/doi/10.1177/0956797611432497,10.1177/0956797611432497,"two between-subjects experiments, Experiment 1: n = 40, Experiment 2: n = 74. [Citations= 194 (GS, October 2022)]​.",,40 & 74.
Social Psychology,Fertility on voting,"Ovulation effect). Ovulatory (or high-fertility) phase of the menstrual cycle affects voting preferences and has different effects on women who are single then women who are in committed relationships. Single women were more likely to vote for Barack Obama (liberal/Democrat candidate) if they were ovulating then if they were not, while the opposite was true for women in committed relationship – ovulation led them more likely to vote for Mitt Romney (conservative/Republican candidate).​","The fluctuating female vote: politics, religion, and the ovulatory cycle","Durante et al., 2013",https://doi.org/10.1177/0956797612466416,10.1177/0956797612466416,"between-subjects design, two studies, Study 1: n = 275 women, Study 2: n = 502 women. [Citations = 117 (GS, October 2022)]​.",,275 & 502
Social Psychology,Modulation of 1/f noise on the weapon identification task,Making an effort to modulate the use of racial information decreases the emission of 1/f noise,1/f noise and effort on implicit measures of bias,"pdf), Correll 2008",http://psych.colorado.edu/~jclab/pdfs/Correll%20(2008,,"mixed-model design experiment, Study 2: n= 71","88 (GS, October 2022)",71
Social Psychology,Time is money effect,Putting a price on time can influence enjoyment of leisure activities as individuals get more impatient if they are compensated for engaging in these activities. ​,"Time, money, and happiness: How does putting a price on time affect our ability to smell the roses?",DeVoe et al. 2012,https://doi.org/10.1016/j.jesp.2011.11.012,10.1016/j.jesp.2011.11.012,"3 experimental studies, Study 1: N = 53; Study 2: N = 401; Study 3: N =205","119 (GS, June, 2022)]​",53 & 401 & 205
Social Psychology,Embodiment of secrets,"secrets-as-burdens). Secrets are experienced as physical burdens, influencing how people perceive and act in the world.​ People who recalled, were preoccupied with, or suppressed an important secret estimated hills to be steeper and perceived distances to be farther",The Physical Burdens of Secrecy,Slepian et al. 2012,https://psycnet.apa.org/record/2012-05413-001,,"studies 1, 2 and 4 experimental mixed model design, study 3 correlational, study 1 n = 40, study 2 n = 36, study 3 n = 40, study 4 n = 30","113 (GS, November 2022)]​",40 & 36 & 40 & 30
Social Psychology,Warmer-hearts-warmer-room effect,Priming “warm” communal traits (vs. other traits) led participants to report that the room in which they were taking the study was warmer,"Warmer hearts, warmer rooms: How positive communal traits increase estimates of ambient temperature",Szymkow et al. 2013,https://psycnet.apa.org/record/2013-08589-013,,"Experiment 1: N = 80, two between-subjects conditions; Experiment 2: N = 80, two between-subjects conditions; Experiment 3: N = 160, four between-subjects conditions","66 (GS, June 2022)",80 & 80 & 160
Social Psychology,Treating-prejudice-with-imagery effect,Imagining a positive encounter with a member of a stigmatised group promote positive perceptions when it was preceded by imagined negative encounter.​,Treating” Prejudice: An Exposure-Therapy Approach to Reducing Negative Reactions Toward Stigmatized Groups,Birtel and Crisp 2012,https://journals.sagepub.com/doi/10.1177/0956797612443838,10.1177/0956797612443838,"three between-subjects experiments, Experiment 1: n = 29, Experiment 2a: n = 32, Experiment 2b: n = 30. [Citations = 100 (GS, October 2022)]​.",,29 & 32 & 30.
Social Psychology,Grammar influences perceived intentionality effect,Grammar influences perceived intentionality**. Describing a person's behaviours in terms of what the person _was doing _(rather than what the person _did_) enhances intentionality attributions in the context of both mundane and criminal behaviors.​ Participants judged actions described in the imperfective as being more intentional and they imagined these actions in more detail,Learning About What Others Were Doing: Verb Aspect and Attributions of Mundane and Criminal Intent for Past Actions,Hart and Albarracín 2011,https://journals.sagepub.com/doi/abs/10.1177/0956797610395393,10.1177/0956797610395393,"three between-subject experiments, Experiment 1 n = 54, Experiment 2 n = 37, Experiment 3 n = 48","40(GS, October 2022)]​",54 & 37 & 48
Social Psychology,Attachment-warmth embodiment effect,anxious attachment warm food effect) Attachment anxiety positively predicts sensitivity to temperature cues.​ Individuals with high (but not low) attachment anxiety report higher desires for warm foods (but not neutral foods) when attachment is activated,Warm Thoughts: Attachment Anxiety and Sensitivity to Temperature Cues,Vess 2012,https://journals.sagepub.com/doi/full/10.1177/0956797611435919,10.1177/0956797611435919,"between-subject experiment, Study 1: n = 56","45 (GS, October 2022)]​",56
Social Psychology,Superstition boosts performance effect,"The irrational belief that certain objects (e.g., lucky charms) or beliefs (e.g., religion) will benefit performance in a task.​",Keep Your Fingers Crossed!: How Superstition Improves Performance,Damisch et al. 2010,https://doi.org/10.1177/0956797610372631,10.1177/0956797610372631,"between-subjects, Experiment 1: n = 28, Experiment 2: n = 51, Experiment 3: n = 41, Experiment 4: n = 31","386 (GS, February 2023)",28 & 51 & 41 & 31
Social Psychology,Social and personal power,"Social power (power over other people) and personal power (freedom from other people) have opposite associations with independence and interdependence; they have opposite effects on stereotyping (social power decreases and personal power increases stereotyping), but parallel effects on behavioural approach (both types of power increase it","Differentiating Social and Personal Power Opposite Effects on Stereotyping, but Parallel Effects on Behavioral Approach Tendencies",Lammers et al. 2009,https://journals.sagepub.com/doi/abs/10.1111/j.1467-9280.2009.02479.x,10.1111/j.1467-9280.2009.02479.x,"Study 1 between-subject experiments, Study 2 field/correlational study, n1 = 113, n2 = 3,082","233(GS, December 2022)]​",
Social Psychology,Classical anchoring effect,anchoring and adjustment). Assimilation of numeric estimates toward previously considered numeric values. ​,Judgment under Uncertainty: Heuristics and Biases: Biases in judgments reveal some heuristics of thinking under uncertainty,"Kahneman & Tversky, 1974",https://www.science.org/doi/abs/10.1126/science.185.4157.1124,10.1126/science.185.4157.1124,"p. 1128; between-subjects manipulation of anchor (high vs. low), sample size not reported","46154(GS, August 2022)]​",
